image_id,groups,true_label,official_pred,official_confidence,w0035_pred,w0035_confidence,official_probs,w0035_probs,raw_image_path,cornea_mask_path,current_crop_thumbnail,wide_crop_thumbnail,gradcam_path,notes
496,both_wrong;true_point_flaky_mixed_missed_by_w0035,point_flaky_mixed,point_like,0.9711870551109314,point_like,0.8613497614860535,"[0.9711870551109314, 0.028432726860046387, 0.0003801661659963429]","[0.8613497614860535, 0.13676919043064117, 0.0018810107139870524]",data/raw/sustech_sysu/rawImages/496.jpg,data/raw/sustech_sysu/corneaLabels/496.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/496_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/496_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/496_gradcam_point_like.png,
498,both_wrong;true_point_flaky_mixed_missed_by_w0035,point_flaky_mixed,point_like,0.987972617149353,point_like,0.8161052465438843,"[0.987972617149353, 0.010862911120057106, 0.0011644563637673855]","[0.8161052465438843, 0.18291527032852173, 0.000979487900622189]",data/raw/sustech_sysu/rawImages/498.jpg,data/raw/sustech_sysu/corneaLabels/498.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/498_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/498_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/498_gradcam_point_like.png,
544,w0035_correct_official_wrong,point_flaky_mixed,point_like,0.9616129994392395,point_flaky_mixed,0.6374797821044922,"[0.9616129994392395, 0.03544902428984642, 0.0029379187617450953]","[0.35362598299980164, 0.6374797821044922, 0.008894224651157856]",data/raw/sustech_sysu/rawImages/544.jpg,data/raw/sustech_sysu/corneaLabels/544.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/544_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/544_wide.png,,
574,w0035_correct_official_wrong,point_flaky_mixed,point_like,0.98299640417099,point_flaky_mixed,0.7330510020256042,"[0.98299640417099, 0.016702700406312943, 0.00030094204703345895]","[0.26514559984207153, 0.7330510020256042, 0.0018034427193924785]",data/raw/sustech_sysu/rawImages/574.jpg,data/raw/sustech_sysu/corneaLabels/574.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/574_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/574_wide.png,,
576,both_wrong;true_point_flaky_mixed_missed_by_w0035,point_flaky_mixed,point_like,0.919489324092865,point_like,0.7442492842674255,"[0.919489324092865, 0.07951495051383972, 0.000995743554085493]","[0.7442492842674255, 0.25458723306655884, 0.001163506880402565]",data/raw/sustech_sysu/rawImages/576.jpg,data/raw/sustech_sysu/corneaLabels/576.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/576_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/576_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/576_gradcam_point_like.png,
587,w0035_correct_official_wrong,point_flaky_mixed,flaky,0.5372008085250854,point_flaky_mixed,0.7896080017089844,"[0.002166192280128598, 0.4606330096721649, 0.5372008085250854]","[0.0021418179385364056, 0.7896080017089844, 0.2082502245903015]",data/raw/sustech_sysu/rawImages/587.jpg,data/raw/sustech_sysu/corneaLabels/587.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/587_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/587_wide.png,,
613,w0035_correct_official_wrong,point_flaky_mixed,flaky,0.7266127467155457,point_flaky_mixed,0.9346444606781006,"[0.0026793600991368294, 0.2707079350948334, 0.7266127467155457]","[0.0027990706730633974, 0.9346444606781006, 0.06255649030208588]",data/raw/sustech_sysu/rawImages/613.jpg,data/raw/sustech_sysu/corneaLabels/613.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/613_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/613_wide.png,,
620,w0035_correct_official_wrong,point_flaky_mixed,flaky,0.6304028630256653,point_flaky_mixed,0.723881185054779,"[0.012472070753574371, 0.35712510347366333, 0.6304028630256653]","[0.0036897133104503155, 0.723881185054779, 0.27242907881736755]",data/raw/sustech_sysu/rawImages/620.jpg,data/raw/sustech_sysu/corneaLabels/620.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/620_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/620_wide.png,,
624,both_wrong;true_flaky_missed_by_w0035,flaky,point_flaky_mixed,0.987141489982605,point_flaky_mixed,0.9892536997795105,"[0.0006407308392226696, 0.987141489982605, 0.012217734009027481]","[0.0064567262306809425, 0.9892536997795105, 0.004289630334824324]",data/raw/sustech_sysu/rawImages/624.jpg,data/raw/sustech_sysu/corneaLabels/624.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/624_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/624_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/624_gradcam_point_flaky_mixed.png,
682,official_correct_w0035_wrong;true_flaky_missed_by_w0035;w0035_wrong_official_correct,flaky,flaky,0.6585405468940735,point_flaky_mixed,0.9723498225212097,"[0.0699816569685936, 0.2714778482913971, 0.6585405468940735]","[0.012474173679947853, 0.9723498225212097, 0.015175950713455677]",data/raw/sustech_sysu/rawImages/682.jpg,data/raw/sustech_sysu/corneaLabels/682.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/682_current.png,outputs/reports/model_improve/error_atlas_dualcrop_thumbnails/682_wide.png,paper_figures/pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__officialinit_ordinalaux_w0035__holdout_v1__seed42/xai_gallery/682_gradcam_point_flaky_mixed.png,
